sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
ACTR8.1026	ACTR8	463.739061956688	309.6005914851322	273.3702242610451	477.192902781653	340.6772182431292	307.16940014988637	367.17667191622854	469.35805692364505	454.0667803670711	557.9110470051718	454.963586422047	363.80785234204046
RRM1.2210	RRM1	847.441940631511	742.0453854898344	683.9744968459081	190.87716111266118	157.4163698088942	386.38677176748865	202.2296131477074	187.74322276945801	126.34901714561978	37.344958521644365	109.45264018052836	72.5481934289113
RC3H1.7339	RC3H1	876.4746737827758	817.5779694714618	735.5744990156636	754.7601078996478	921.7864043038231	488.2376781329773	634.9331988212937	840.9331853215307	1027.9018999034276	652.9709414239029	800.4745326635657	1241.854369871364
UBN1.1570	UBN1	1200.542749227974	1064.0964029060042	1523.8468725876733	1348.8652718628057	980.5238557250523	798.6404403897045	888.0026588497096	728.8087606119933	959.4628489495502	667.6825917506113	1050.418621434026	1092.4904422236054
SMARCC2.286	SMARCC2	472.3704150557126	677.3031706484394	452.3234232753036	396.070109308772	405.67999781595614	557.7549634300568	438.3524575492205	548.888172124596	569.886712750556	504.72277274707227	463.13169389820587	383.0117858967523
USP7.1248	USP7	713.2636333648551	697.2238521380993	505.02129783164963	415.9531469246742	431.52447644129694	530.2713855219091	240.64194190202053	142.11118945743698	192.15579690896342	72.42658622379513	128.2392873756937	51.210489479231505
ADA.1469	ADA	1432.8046144380917	1394.4477042761987	1021.0213195292047	1388.6313470946102	1200.5935070499243	1589.1974755123067	1172.7058013816775	981.7406023986242	1064.7536965709	953.9939404165515	880.5219859299223	1412.5560014688024
HP1BP3.614	HP1BP3	540.6365713843621	603.430643457617	541.2510865891376	528.8888005829987	552.1320433595542	518.9546181479659	524.2153100588616	503.25613881257493	555.4092212026203	370.0545889872032	652.6317873450907	620.927184935682
NOC2L.796	NOC2L	935.3248085488528	1010.1445572048416	591.7532163723025	378.57303620677806	184.04401445318473	341.1197022717159	47.45052375532799	264.66579320972204	252.69803429123957	161.82815359379222	99.65091120913777	131.22687929053072
SMARCD2.1639	SMARCD2	1541.8735308712214	1179.4703498669514	1436.0170816604298	980.6314152162969	1043.17713724103	989.4088046933182	576.184931314697	990.8670090610284	914.7142387104766	583.9393514293482	621.5929789356873	650.7999704652337
PRDM6.2522	PRDM6	845.0879352408679	1176.980264680744	918.9191875762842	1125.379929060065	1302.405089513388	1091.2597110588067	1139.9423445029986	749.6691186974886	1389.8391886018176	898.5423353389583	739.2137265923744	1069.0189678789577
PBX1.2597	PBX1	1056.9484203987456	1252.5128486623714	1258.161755032762	1168.3272903104137	1491.931266099221	1290.1114806295227	1335.3933113999449	1136.8895156594958	1339.8260359816763	1605.8332164307076	1315.0653036615722	1478.7028837128098
PHF6.518	PHF6	543.7752452385529	844.1388781243418	613.7106641041133	687.1577800055803	491.82825990042556	685.4727666502728	352.4896050395794	663.6201415948203	555.4092212026203	219.54308949087897	403.50450932224635	224.04589147163784
SS18L2.129	SS18L2	249.52457140816713	271.41928529661726	197.6170295862977	190.87716111266118	302.3020833145928	300.70267593620457	382.9935131680045	277.70351701315667	127.66515274088665	243.30806309556175	170.71344625171963	141.89573126537064
KAT6A.7774	KAT6A	1133.061261362872	1127.178560956594	1001.2596165705748	1182.6430773938632	1125.409569230751	989.4088046933182	1250.6602332654306	1165.5725080270518	833.1138318039305	665.4192609311177	740.0305373399904	573.9842362463864
TSSK6.480	TSSK6	1561.4902424599138	1437.6091808371289	1362.4596317588635	1295.5787310521878	1430.8443166211425	1555.2471733904772	1309.4085007720273	1457.6175212239866	1449.065290388827	1054.7121618840165	1426.9683760849482	1562.986814314045
MST1.607	MST1	409.596937971897	362.7224087908922	288.7404376733127	341.1929254888819	208.32216104062613	274.83577908147726	296.0008862832365	247.7167522652571	235.5882715527702	415.32120537707516	153.56042055178608	150.43081284524254
PHF10.166	PHF10	899.2300592256589	905.5609793841268	778.3915220926947	704.6548531075742	780.8165208928731	816.4239319773295	916.247018227881	846.1482748429045	509.34447536827975	591.8610092975758	461.4980724029741	644.3986592803298
MTERF.767	MTERF	739.157692661929	1008.4845004140367	833.2851414222218	1327.3915912376315	1175.5321944435332	1045.992641563034	1354.5994757771016	1284.2157946383065	1118.7152559768417	2020.0227563980359	1712.0353270028916	1841.4438508573662
ALKBH2.393	ALKBH2	473.939751982808	515.447633544952	480.86810532665766	572.6314833379836	668.0406141641131	499.55444550692044	872.1858175979336	513.6863178553226	472.4926787008073	770.66414403757	747.3818340685333	958.0629073406227
PRMT10.1073	PRMT10	2259.8451750173626	2341.5101034304503	2175.9830702224554	2117.145845341267	1925.0220745784172	2683.6905486779547	2675.3057203003973	1923.064261006601	3090.286377686617	1883.0912418186733	2368.7511680860616	2380.220875586781
SCMH1.1349	SCMH1	413.5202802896355	384.30314707135716	603.8298126247985	534.4560511154514	364.17219881162083	375.07000439354545	460.94794505175764	324.6393227055211	238.22054274330395	344.0262845630269	99.65091120913777	153.6314684376945
INO80E.315	INO80E	2408.147514627877	1806.971816791241	1869.676674363694	2372.4440483294516	2346.365392773368	1915.7670483032387	2984.863899085156	2029.9735961947647	1997.8938336151127	2161.480932616386	2022.423411096927	1849.9789324372382
CDY2A.1821	CDY2A	1843.1862208735365	1997.0483193384132	2356.0341416233045	2489.356309510956	2141.9590618274906	2496.155546481182	2279.884689005997	2930.8803110120944	2715.1877330355583	2549.642168159538	2826.981997498572	3325.481160557596
SAP130.1141	SAP130	1450.067320636141	1348.7961425290614	1159.3532402396131	836.6782228771649	1102.697754681209	1146.2268668751024	507.2686944319588	720.9861263299325	987.1016964501546	381.3712430846712	383.0842406318493	961.2635629330747
